label,statement,subjects,domain
barely-true,Any state tax law has to start in the House and the renewal of the state hospital bed tax this year started in the Senate which is unconstitutional .,"state-finances,taxes",taxes
mostly-true,Every child born today inherits a $30000 share in a national debt that stands at more than $13 trillion .,deficit,economy
false,A strong bipartisan majority in the House of Representatives voted to defund Obamacare .,"congressional-rules,federal-budget,health-care",politics
half-true,Proximity to high-voltage power lines lowers property values by as much as 30 percent .,"energy,environment,housing,recreation",energy
false,What the facts say is . the best scenario for kids is a loving mom and dad .,"children,diversity",environment
false,Says Mark Neumann = Nancy Pelosi,"federal-budget,infrastructure,message-machine,transportation,voting-record",politics
half-true,To hear Gov . Christie tell it everything in New Jersey is going just fine . Well I see another New Jersey with 400000 unemployed . One of the worst jobless rates in the country . Working and middle class families have seen costs soar from property taxes to college tuition .,"education,jobs,taxes",taxes
barely-true,Says delegates cant legally change the Republican National Convention rules to prevent Donald Trumps nomination .,"corrections-and-updates,elections,legal-issues",politics
pants-fire,Rebuilding three high schools will benefit 40 percent of Portland Public School students .,education,education
half-true,Proposition 2 on Novembers Texas ballot does not cost state taxpayers any money .,"elections,water",politics
true,Providence has the lowest crime rate in three decades .,"crime,job-accomplishments",crime
false,On banning earmarks .,federal-budget,law
half-true,Says hes taken an 8% pay decrease in each of the nine years he has been in office .,"candidates-biography,county-budget,county-government",politics
half-true,1 percent of Americans are millionaires . 47 percent of House Reps . are millionaires . 56 percent of Senators are millionaires .,occupy-wall-street,economy
barely-true,The decision for the United States to buy heavy water from Iran will directly subsidize Irans nuclear program .,"energy,foreign-policy,nuclear",energy
mostly-true,The Texas Department of Transportation . misplaced a billion dollars .,transportation,transportation
false,A judges order means theres a Constitution exemption zone if you live within 100 miles of the United States border .,"civil-rights,immigration,privacy,technology",law
true,Pepper . kicked off a jock tax imposing a levy on the sports and entertainment industry .,"message-machine,taxes",sports
barely-true,Mitch McConnell opposed legislation to create and protect Kentucky jobs . . . help for the unemployed . . . health care for Kentucky s children and fair pay for women .,"economy,health-care,workers",social issues
true,Under Mayor Tom Barrett the number of Milwaukee police officers has not increased .,"city-budget,crime,job-accomplishments",law
barely-true,Taxpayers subsidize 80 percent of each MARTA trip,transportation,taxes
pants-fire,President Obama Sen . Harry Reid and Rep . Nancy Pelosi passed a $1.2 trillion stimulus bill .,stimulus,law
true,Says Milken Institute rated San Antonio as nations top-performing local economy .,economy,economy
pants-fire,Says people in Africa literally walk two and three hundred miles in order to vote .,elections,transportation
true,Before World War II very few people actually had health insurance .,"health-care,public-health",health
false,Half of children struck by cars near schools are hit by parents driving children to school .,transportation,transportation
barely-true,Citizens Property Insurance has over $500 billion worth of risk with less than $10 billion worth of surplus .,"state-budget,weather",business
barely-true,Tom Leppert pledged to make Dallas a sanctuary city for illegal immigrants .,immigration,immigration
true,Putting three Republicans in my Cabinet . is unprecedented .,history,politics
barely-true,When Atlanta Police Chief George Turner was interim head of the department overall crime fell 14 percent and violent crime dropped 22.7 percent .,crime,crime
mostly-true,From 1980 to 1990 the top 1 percent saw their income go up by roughly 80 percent while the median wage in the country over (the same) 10 years went up 3 percent .,"economy,history,income,pundits,taxes",economy
true,I am very proud as governor of Florida that we signed the first divestment act as it relates to Iran divesting any investments in companies that would invest in Iran .,"florida,foreign-policy",law
true,As a result of climate change ice fishermen in Wisconsin are already noticing fewer days they can be out on our ice covered lakes .,"climate-change,environment",science
half-true,Muslim nations did not call out the people who celebrated the 9/11 attacks .,"islam,terrorism",religion
pants-fire,Says Donald Trump said of women And you can tell them to go f - themselves .,women,social issues
pants-fire,The Taliban has been there for years and years I mean hundreds of thousands of years .,"afghanistan,terrorism",culture
true,Iran President Hassan Rouhani has more Cabinet members with Ph.D.s from American universities than members of Barack Obamas Cabinet .,"education,foreign-policy",politics
true,The words subhuman mongrel which Ted Nugent called President Barack Obama were used by the Nazis to justify the genocide of the Jewish community .,history,crime
pants-fire,(Barack Obama) says hes going to reduce the long-term debt and deficit by $4 trillion doesnt say how hes going to do it .,"debt,deficit",politics
false,Birth control pioneer Margaret Sanger wasan active participant in the Ku Klux Klan .,abortion,social issues
half-true,Says President Obama and his National Labor Relations Board sued Boeing over its decision to open a plant in South Carolina .,"economy,jobs,market-regulation",law
mostly-true,Says U.S. Sen . Ron Johnson led the fight to let polluters release unlimited amounts of carbon pollution and took nearly $225000 from polluters .,"environment,government-regulation",politics
true,Orrin Hatch co-sponsored a 1993 health care bill that had an individual mandate .,"health-care,pundits",health
half-true,More (student-athletes) graduate than the students who arent student-athletes .,"education,sports",sports
false,U.S. Rep . Lloyd Doggett is the most liberal man in the United States Congress .,"bipartisanship,candidates-biography",politics
barely-true,Its entirely possible that the Democratic nominee [Hillary Clinton] earned more money giving a single speech on Wall Street than I made the six years that I was there back in the 1980s In fact its quite likely .,income,politics
half-true,Says Mitt Romney flip-flopped on an assault weapons ban .,"guns,message-machine-2012",politics
false,Says state Senate President Stephen Sweeney gave us the nations highest income tax rates driving out jobs .,"income,jobs,message-machine-2012,taxes",taxes
barely-true,Delaware Democratic Senate candidate Chris Coons thought that a 911 call should be taxed .,"message-machine,public-safety,taxes,technology",politics
barely-true,When Tim Kaine was governor spending soared blowing holes in the budget every year .,"job-accomplishments,message-machine-2012,state-budget,state-finances",economy
pants-fire,President Obama has the lowest public approval ratings of any president in modern times .,"history,polls",politics
barely-true,Neville Chamberlain told the British people : Accept the Nazis . Yes they will dominate the continent of Europe but that is not our problem . Lets appease them . Why Because it cant be done . We cannot possibly stand against them .,"health-care,history",politics
false,On an income cap for recipients of the popular HOPE scholarship,education,economy
mostly-true,Wisconsin is dead last in the Midwest for job creation .,"government-regulation,job-accomplishments,jobs,labor,unions,workers",economy
half-true,On running a civil and polite campaign .,"message-machine,campaign-advertising",politics
mostly-true,Says President Barack Obama has taken 92 days of vacation since he was sworn in compared to 367 for President George W. Bush at the same point in his presidency .,"bush-administration,pundits,recreation",politics
half-true,The federal government reviewed and verified his administrations numbers showing Wisconsin added 23608 jobs in 2011 .,"economy,job-accomplishments,jobs",economy
true,Tom Suozzi raised taxes by hundreds of millions of dollars as Nassau County executive .,taxes,taxes
pants-fire,John Holdren director of the White House Office of Science and Technology Policy has proposed forcing abortions and putting sterilants in the drinking water to control population .,"abortion,pundits",social issues
mostly-true,Mitt Romney drove to Canada with the family dog Seamus strapped to the roof of the car .,"animals,candidates-biography,pundits",transportation
false,Many of the founding fathers were very actively involved in cockfighting .,"animals,history",sports
pants-fire,Says state Sen . Sheila Harsdorf wants to eliminate Medicare as we know it .,"medicare,retirement",health
barely-true,The majority of people travelling to these destination resorts are not going for the primary purpose of gambling .,gambling,transportation
mostly-true,Says Bill Nelson voted 98 percent of the time with Barack Obama .,voting-record,politics
barely-true,I did not I did not I do not say that . I do not say that climate change is a hoax perpetrated by the Chinese .,"candidates-biography,china,climate-change,economy,energy,environment,history,science",environment
mostly-true,In Florida we have 75000 on (a) waiting list for child care and 23000 on waiting lists for community care for the elderly .,"children,education,state-budget",social issues
mostly-true,Says NFL Commissioner Roger Goodell interviewed domestic abuse victim Janay Rice with Ray Rice present and for every domestic violence agency every law enforcement agency thats a no-no .,"criminal-justice,sports",law
false,I can tell you that the enhanced interrogation techniques that have since been banned by this administration specifically waterboarding work .,"afghanistan,bush-administration,candidates-biography,ethics,foreign-policy,homeland-security,human-rights,iraq,public-safety,terrorism",law
false,Virginia has made no progress on jobs since Bob McDonnell took office .,"jobs,message-machine-2012",economy
false,The Iraq Study Group reported that (Saddam Hussein) had designs on reviving his nuclear program .,iraq,energy
mostly-true,The sex-offender registry has been around for a long time and the research thats out there says that it has no positive impact on the public safety .,crime,science
true,Ronald Reagan raised the national debt 18 times .,deficit,politics
false,On whether global warming is man-made .,"climate-change,environment",environment
true,The number of inmates since 2000 on death row dying of natural causes has now surpassed the number of inmates executed .,"crime,legal-issues",crime
mostly-true,Quite frankly it was during the Bush years of spending multiplied now by the Obama years that we have this mess .,"bipartisanship,debt,deficit,federal-budget",politics
half-true,Republicans have proposed dozens of (health care) solutions designed to help control costs and improve quality .,health-care,health
half-true,When the union says I want to eliminate tenure thats not true .,"education,state-budget,unions",politics
false,Says Hillary Clinton has donated every cent shes ever earned from speaking fees to charity .,candidates-biography,politics
false,Charlottes anti-discrimination ordinance would have opened all bathrooms to all sexes at all times if it hadnt been overturned .,"city-government,gays-and-lesbians,government-regulation,public-safety",social issues
mostly-true,Eighty percent of the American people support an approach (to federal budget problems) that includes revenues and includes cuts .,"federal-budget,polls,taxes",politics
barely-true,Social Security has nothing to do with the federal deficit .,"federal-budget,social-security",social issues
half-true,About 1 percent of all the gun sellers are responsible for more than half of the guns that are used in crimes .,"crime,government-regulation,guns",crime
false,On pay for fired Milwaukee police officers,state-budget,business
true,Texas is the state that has now gone the longest without electing a Democrat statewide .,"elections,history",politics
false,Says CNN reported Ben Carson was taking a break from campaigning and the Cruz campaign forwarded that news to our volunteers .,candidates-biography,politics
true,Today if you were raised poor youre just as likely to stay poor as you were 50 years ago .,"families,income,poverty",social issues
pants-fire,Says President Barack Obama told a room of students Children every time I clap my hands together a child in America dies from gun violence and then a child told him he could solve the problem by not clapping any more .,guns,social issues
mostly-true,The United States has the longest surviving constitution .,"foreign-policy,history,new-hampshire-2012",law
mostly-true,Says In Oregon in 2010 49 percent of all pregnancies were unintended .,"children,families,health-care,women",health
half-true,Austin school district teachers are the lowest paid of any urban Texas district and the lowest paid of any surrounding school district .,"education,state-budget,state-finances",education
half-true,Says Clackamas County has more urban renewal debt than all the other Oregon counties combined .,county-government,environment
pants-fire,NASA scientists fudged the numbers to make 1998 the hottest year to overstate the extent of global warming .,"climate-change,environment",science
mostly-true,The University of Wisconsin System is larger than any business in the state of Wisconsin .,state-budget,education
false,There is no record of congresswoman Betty Sutton . ever holding a single in-person town hall meeting open to the general public .,job-accomplishments,politics
barely-true,Mark Herring voted to allow sex offenders including rapists to serve shorter sentences .,criminal-justice,crime
mostly-true,Iraq has the second-largest oilfields in the world (behind) Saudi Arabia .,"energy,foreign-policy",energy
mostly-true,Says states mandated tests come from an English company .,education,business
barely-true,Says he got twice as much money from the sale of County Grounds land than Milwaukee County Executive Scott Walker was willing to accept .,job-accomplishments,business
barely-true,We spend in tax loopholes annually $1.1 trillion . Thats more than we spend on our defense budget in a year on Medicare or Medicaid in a year .,taxes,taxes
false,On the Bush tax cuts .,taxes,taxes
mostly-true,Over half of the black workers in this country earn less than $15 an hour .,"diversity,economy,jobs",social issues
half-true,Insured Floridians pay about $2000 for every hospital stay to cover the cost of the uninsured .,"health-care,medicaid",health
true,Sixteen million jobs were created under Ronald Reagans presidency .,jobs,economy
pants-fire,This would be the largest casino in the United States .,gambling,business
barely-true,Barack Obama s health care plan will cost taxpayers $1700 more to cover each new person .,health-care,health
true,Barack Obama . 96 percent of his votes have been solely along party line .,candidates-biography,politics
half-true,President Obama and Nancy Pelosi said Obamacare would save money because they factored in 10 years worth of tax revenue and only six and half years worth of expenses .,health-care,politics
true,John McCain has not led on nonproliferation issues when he had the chance in the Senate .,foreign-policy,foreign policy
true,Says American polling shows Russian President Vladimir Putin has an 80 percent approval rating .,polls,politics
true,Pasco County schools have graduation rates substantially higher than the state average and dropout rates below the state average .,education,education
mostly-true,Eighty-five percent of the states in the United States that had electrocution have now abolished it .,"criminal-justice,states",law
half-true,Says that each year about 25000 American women become pregnant through rape or incest .,"abortion,crime",crime
half-true,Bill Nelson leased land that he owned for six cows taking advantage of an agricultural tax loophole to dodge $43000 in taxes just last year .,"agriculture,taxes",agriculture
false,In rural Virginia Sen . Warner ran 8-10 points ahead of a traditional Democrat - ahead of Senator Kaine ahead of Governor McAuliffe .,elections,politics
false,I can tell you with certainty (capandtrade)would have a devastating impact on our economy .,"cap-and-trade,climate-change",economy
mostly-true,Today many Florida teachers are at risk of having their pay impacted by the performance of children who are not even in their classrooms or subject areas .,education,education
false,Mitt Romney left Massachusetts $1 billion in debt .,"deficit,job-accomplishments,message-machine-2012,state-budget,state-finances",politics
true,Says Barack Obama promised he would cut the deficit in half but didnt .,federal-budget,politics
mostly-true,Old City in Philadelphiaused to have more than a dozen clubs and thats what we were known for and now were down to two .,nightlife,sports
barely-true,Says Denmarks suicide rate has been about twice as high as the United States over the past five decades .,"economy,foreign-policy,public-health",social issues
barely-true,China has total control just about of North Korea .,"foreign-policy,nuclear",foreign policy
false,The fact is the Clinton Foundation has got about 80 percent in overhead and 20 percent of the money is actually getting into the places it should .,candidates-biography,economy
barely-true,The U.S. Constitution owes its notion of democracy to the Iroquois Tribes .,"diversity,history",law
half-true,Since the first of the year 153 businesses at last count had moved out of California to Texas .,economy,business
half-true,Barack Obama has provided guns to Mexican drug cartels .,"drugs,guns,legal-issues",crime
barely-true,Says Chris Koster fell silentas attorney general in pursuing a case against a free classified service accused of promoting prostitution after accepting over $12000 in campaign contributions from people affiliated with the service .,"campaign-finance,legal-issues,women",politics
true,Health care premiums for consumers have doubled since 2001 .,health-care,health
mostly-true,Says Less than half of all states have legal protections on the basis of sexual orientation or gender identity despite the fact that LGBT Americans report employment discrimination and unemployment at much higher rates than the U.S. average .,"civil-rights,diversity,gays-and-lesbians,jobs,workers",social issues
false,Gov . Romney himself with 28 other Republican governors supported policies that would have eliminated the time limits in the welfare reform law and allowed people to stay on welfare forever .,welfare,welfare
false,Under Lt . Gov . Lee Fisher Ohio is 44th in the country in terms of getting money actually into worker retraining .,"economy,government-efficiency,jobs",economy
false,Im well aware that medical marijuana is a recognized medical viable treatment for this sort of [pancreas] pain condition .,"candidates-biography,crime,drugs,health-care,legal-issues,marijuana,public-health",health
pants-fire,Says Rick Perry recently said he wanted another (Texas) business tax .,"state-budget,taxes",taxes
mostly-true,By a two-to-one margin Rhode Islanders want to ban assault weapons and we have a very small percentage of gun owners in this state less than 13 percent .,"government-regulation,guns,legal-issues,public-health,public-safety,recreation,market-regulation,states",politics
false,Right now an employer has more of a chance of getting hit by lightning than be prosecuted for hiring an undocumented worker . That has to change .,immigration,crime
pants-fire,Wisconsin dropped from second in the country to 41st among states where more than half the students took the ACT exam .,"children,education,state-budget,states",education
mostly-true,Says 315000 mostly minority Texas students are enrolled in failing schools .,education,education
pants-fire,Says At age 76 when you most need it you are not eligible for cancer treatment under Affordable Care Act .,"health-care,medicare",health
false,Says an Obama administration policy prohibits people who work with at-risk youth from promoting marriage as a way to avoid poverty .,"marriage,poverty",social issues
barely-true,. Secret documents reveal that Iran could obtain a nuclear weapon far sooner than we were told . And Tammy Duckworth voted yes (on the Iran nuclear deal).,nuclear,foreign policy
barely-true,If you look at the results of Obamacare what you see is emergency room visits are up over 50 percent .,polls,health
false,Loranne Ausley voted six times to tax your savings .,taxes,politics
pants-fire,Four state Assembly Democrats scored a death blow to northeast Wisconsins economy by killing hundreds of jobs at a potential Bass Pro Shops near Green Bay .,"environment,jobs",economy
true,The president campaigned against this type of legislation .,federal-budget,politics
half-true,One in every three women has an abortion during her lifetime .,abortion,social issues
barely-true,Barack Obama is more to the left of the announced Socialist in the United States Senate .,candidates-biography,politics
barely-true,What president has the worst record on female labor force participation Barack Obama .,"history,labor,women,workers",social issues
half-true,Two million more Latinos are in poverty today than when President Obamatook his oath of office less than eight years ago .,"economy,immigration,poverty,welfare",social issues
barely-true,The Social Security trust fund is already facing imminent bankruptcy .,"social-security,taxes",social issues
barely-true,Seven hundred thousand . Thats how many California jobs will be lost thanks to the politicians raising the minimum wage.Now Florida is adding one million jobs not losing them .,"jobs,labor,states",politics
mostly-true,America is No . 1 in wind power .,energy,energy
false,The percentage of black children born without a father in the home has risen from 7 percent in 1964 to 73 percent today due to changes from President Lyndon Johnsons Great Society .,"children,families,marriage,poverty",social issues
true,I said no to these big bank bailouts .,"economy,message-machine,voting-record",politics
mostly-true,People have a constitutional right to have semiautomatic rifles .,"guns,legal-issues,supreme-court",law
mostly-true,This budget also reflects the smallest state government workforce per 1000 residents in Florida in this century .,"jobs,state-budget",economy
mostly-true,The film and TV industry supports more than 24000 direct jobs and pays local workers more than $1.68 billion in wages in Georgia .,jobs,economy
mostly-true,Property taxes have increased 20 percent under four years of Chris Christie .,taxes,taxes
mostly-true,When it comes to income taxes Wisconsin is one of the best places in the country to be poor but top 4 or 5 worst for middle-income earners .,"state-budget,state-finances,taxes",taxes
false,ACORN could get up to $8.5 billion more tax dollars despite being under investigation for voter registration fraud in a dozen states .,federal-budget,taxes
barely-true,Says Congressman Jon Runyan does not want to cut taxes for the middle class but only for millionaires .,taxes,taxes
half-true,On his half pay pledge .,job-accomplishments,business
barely-true,Over 10 years (extending tax cuts for the wealthy) would add less to the deficit than Obama added with the stimulus in one year .,"federal-budget,pundits,taxes,abc-news-week",taxes
true,The collective net worth of Americans has taken a $5.5 trillion hit . mainly due to plummeting home values .,"economy,housing",housing
barely-true,Gov . Rick Scott backed the federal shutdown .,federal-budget,politics
true,The average Georgia family makes $6000 less than the average family did 10 years ago when inflation is factored in .,"economy,income",economy
mostly-true,As weve seen that federal support for states diminish youve seen the biggest job losses in the public sector - teachers police officers firefighters losing their jobs .,"economy,jobs,stimulus,workers",education
half-true,Says New START passed while Clinton was secretary of state is a treaty cutting Russias nuclear arms .,"candidates-biography,foreign-policy,nuclear",law
barely-true,Says his free public university tuition program is paid for by a tax on Wall Streets speculation .,education,taxes
mostly-true,Ohio ranks 46th in the country in putting dollars in the classroom .,"education,government-efficiency",education
half-true,Under a Wisconsin bill minor offenses such as violating pet leash laws seat belt laws parking infractions etc . would now be arrestable offenses .,"civil-rights,guns,legal-issues",transportation
barely-true,Says in 2003 Texas cut $10 billion out of the entire budget yet we put $1.8 billion more into public education . We put $800 million more into health and human services .,state-budget,education
half-true,Under Hillary Clintons plan illegal immigrants convicted of committing crimes get to stay .,immigration,immigration
false,The Obama administration leaked information deliberately or otherwise that led to the identification of the Pakistani doctor that helped us in achieving our goals and killing bin Laden .,"foreign-policy,message-machine-2012,military,terrorism",crime
barely-true,Over the last several months there was a review board headed by two distinguished Americans Mike Mullen and Tom Pickering who investigated every element of the Benghazi incident .,"foreign-policy,terrorism",law
mostly-true,Says when this governor came to office he had (an) 11 billion dollar - I call it mismanagement deficit .,"debt,deficit,state-budget",economy
mostly-true,Georgia and other states with weak gun laws have more crime .,guns,crime
false,Says President Barack Obama spent nearly a trillion dollars on make-work government jobs .,"economy,federal-budget,jobs,stimulus",politics
mostly-true,Among Hispanics support for immigration reform is close to universal .,immigration,immigration
half-true,Says a Ted Cruz ad has got me bull-dozing down a house.I never bulldozed it down . Its false advertising .,housing,housing
half-true,Wages adjusted for inflation havent risen since the turn of the last century .,"economy,jobs,workers",economy
half-true,Says 95 percent of people caught crossing the U.S . Mexico border said in a survey we are coming because weve been promised amnesty .,immigration,immigration
barely-true,There would be tens of thousands of jobs created if President Barack Obama approved the Keystone XL pipeline .,"environment,jobs",energy
half-true,Weve brought trade cases against China at nearly twice the rate as the last administration .,"bush-administration,china,job-accomplishments,trade",business
mostly-true,When we started this health care debate a year ago 85 percent of the American people had health insurance and 95 percent of the 85 percent were happy with it .,"health-care,pundits",health
true,Since John F. Kennedy was assassinated in 1963 more Americans have died by gunfire within our own country than American servicemen and women who were killed in all our wars .,guns,military
mostly-true,Obama said he would unilaterally renegotiate the North American Free Trade Agreement .,foreign-policy,politics
barely-true,In the 513 days between Trayvon dying and todays verdict 11106 African-Americans have been murdered by other African-Americans .,crime,crime
false,Says If you compare the Portland Metro area to the CDCs statewide cavity rates . the Portland Metro area would actually rank as having the 15th lowest cavity rate in the U.S.,"public-health,water",health
mostly-true,He received A ratings from every conservative organization that gives ratings .,job-accomplishments,politics
true,It costs $10000 a year to keep a child in school ; it costs $30000 a year to keep someone in prison .,"crime,education,public-safety,state-budget",education
false,Says Republican Rep . Charlie Dent wants to kick the Freedom Caucus out of the Republican conference for voting our conscience .,"congress,congressional-rules,corrections-and-updates",politics
false,He was offered medical care for his injuries if he would give up military information in return . John McCain said No .,candidates-biography,health
mostly-true,Two-thirds of Wisconsin corporations dont pay state income taxes .,"corporations,income,taxes",business
barely-true,There are literally teachers now who are getting pink slips because of sequestration .,"education,federal-budget",education
false,Obamacare . will kill jobs across America .,"health-care,jobs,message-machine-2012",health
true,Last weeks three most-viewed television programs wereSunday Night Football Thursday Night Football and Monday Night Football .,sports,sports
true,On federal stimulus money for expanding rail service .,"federal-budget,state-budget,stimulus,transportation",transportation
